	Image type	Feature Class	Feature Name	VSD.Brain_3more.XX.O.OT.42283	VSD.Brain_3more.XX.XX.OT.54529	VSD.Brain_3more.XX.O.OT.42287	VSD.Brain_3more.XX.O.OT.42289	VSD.Brain_3more.XX.O.OT.42291
0	general	info	BoundingBox	(65, 135, 40, 70, 72, 76)	(59, 117, 58, 99, 86, 82)	(56, 85, 31, 54, 89, 72)	(67, 59, 66, 65, 74, 65)	(55, 84, 26, 64, 84, 73)
1	general	info	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}
2	general	info	GeneralSettings	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 37, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}
3	general	info	ImageHash	3015d232d8922f05fc3b1bc927fa1d72b6832f2f	648c33192320cd67ffc87b44a83462bb11325561	e3f3bd69a04cc490a1f5a6f8c97352237535937e	e679c3a7b2fea3d6ffccd340e4caab7a4b385b90	4c330dd3255afcb97fa8bbab2322d21a029abff9
4	general	info	ImageSpacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
5	general	info	MaskHash	8085dd6af04e1db87025ebc4accb1c13455f8a11	be147fc842551ccbd364d60b738c1506a340d876	75297c92aa0ff87718be8c6817a20eba28846a54	63d02867035bf9ab51b0294b445429a66a89745f	b9c90e1b7eccc3e0d95e540bb69a69c009bdfd5e
6	general	info	Version	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45
7	general	info	VolumeNum	2	4	2	6	2
8	general	info	VoxelNum	114015	173928	83797	122956	85658
9	original	shape	Maximum3DDiameter	83.0782763423	98.4073168011	97.4782026917	77.1362431027	83.6002392341
10	original	shape	Maximum2DDiameterSlice	71.5891053164	97.3293378175	81.2219182241	75.6439025963	81.4984662432
11	original	shape	Sphericity	0.60695784553	0.408030593801	0.547055515952	0.668738509216	0.472181479173
12	original	shape	MinorAxis	57.7113359851	68.7626035375	44.0723520359	57.4361716309	52.3930915314
13	original	shape	Elongation	0.876447539445	0.961916201848	0.534297811493	0.883249934972	0.736768626719
14	original	shape	SurfaceVolumeRatio	0.164312876211	0.212325210241	0.202011719896	0.145426834077	0.232337439843
15	original	shape	Volume	114015.0	173928.0	83797.0	122956.0	85658.0
